,description,eye_color,hair_color,sex
11580,"A man with short, greyish hair, sunken eyes, a slightly beaky nose and droopy facial features.",,,
11581,"A middle-aged man with short brown hair, thick eyebrows and small eyes. His nose is arched and his lips are parted.",,,
11582,"A focused aging white man with short greying-black hair, brown eyes and a large nose",,,
11583,A profile shot of a woman with blond hair kept back by hairclips. She has a sharp jawline and slightly pale skin.,,,
11584,"A profile of a female face with a pale skin tone, blonde hair that is pulled back exposing small earrings. She seems to be disappointed or angry.",,,
11585,"A young, blonde woman with a clip in her hair wearing stud earrings",,,
11586,"A woman with a large oval-shaped face, radiant skin and shiny black shoulder-length hair. She has thin arched eyebrows, dark brown eyes, a straight nose, full cheeks, thick lips and pristine teeth. Her mouth is open.",,,
11587,"Woman with light copper, tousled hair, having fair skin and wearing make-up. Her lips are ajar and her eyes are turned towards her right hand side.",,,
11588,"A fair-skinned woman with ginger hair and eyebrows, dark roots, green eyes, a slender nose and plump lips.",,,
11589,"A person with an oblong narrow face, a pale complexion, a small mouth and dyed hair. The person is clean-shaven and is looking upwards.",,,
11590,"A pale, smiling man with light eyes, a small nose, a light dusting of facial hair and a smile. He is wearing a black hat.",,,
11591,A young boy wearing a black winter cap. He has got blue eyes. He has got a very heavy lower lip and his lips are parted. His upper teeth are visible. Along the boy's jawline and on his upper-lip a stubble beard is growing.,,,
11592,A smiling white man with blue eyes and a light stubble,,,
11593,"A woman with brown eyes, thin lips, long curly chestnut hair and thin arched eyebrows. She has a smooth complexion and is smiling.",,,
11594,"A woman with an elongated face, high cheekbones, long ginger hair and large green eyes. She has a defined jawline and is wearing eyeliner.",,,
11595,"A young woman with curly hair, dark eyes, a small nose and thin lips",,,
11596,"A fair man with a rectangular clean-shaven face and wet brown hair. He has a large forehead, brown hooded eyes, an upturned nose, full lips and a clearly-shaped jawline.",,,
11597,"This man has wet black hair, small eyebrows and small dark brown eyes. His nose is pointed and his lips are full",,,
11598,An older man with brown hair and bushy eyebrows. He has a large nose and a wide smile.,,,
11599,"A middle-aged man with short brown hair, some white patches and a receding hairline. His eyes are small and his lips are thin. He is smiling. His upper teeth are visible.",,,
11600,"A smiling aging white man with short brown hair, brown eyes and a large nose",,,
11601,"An Asian elderly man with bags under his eyes, wrinkles, large ears and black hair. He is wearing a black hat and has a broad smile on his face.",,,
11602,"An Asian man with jet-black hair, elongated eyes, thin lips and a trimmed beard. He is smiling.",,,
11603,"this is a young girl with culy brown hair, arched eyebrows and big brown eyes, her nose is small and pointed and her lips are orangein colour, she has a very white complextion",,,
11604,"A woman with long wavy brown hair, sparkly eyes, thin defined eyebrows and a straight nose. She is wearing lipstick and is smiling.",,,
11605,"A female face with straight brown hair, small nose and sharp jawline, wearing heavy makeup and bright red lipstick.",,,
11606,"A focused white woman with long pulled back brown hair, brown eyes and red lips",,,
11607,"A man with high cheekbones, a small mouth, sparkly black eyes and brown hair. He is clean-shaven and is wearing a black bandana.",,,
11608,A young woman with dark-blonde hair and brown roots. Her eyes are dark-coloured and small and her lips are thin. Her upper teeth are visible and she is smiling,,,
11609,"A smiling white woman with long blonde hair, brown eyes and glossy pink lips",,,
11610,"A woman with long, straight, black hair, bangs, a small nose, prominent cheeks and light eyes. She has blue eyes and she is wearing makeup.",,,
11611,A middle-aged woman with straight dark hair and a curtain fringe. Her eyes are blue and there is black make-up around her eyes. Her nose is small and her lips are thin. Her lips are painted pink and she is smiling. She is wearing a pair of hoop earrings,,,
11612,"A woman with long hair, blue eyes, a small nose and thin lips",,,
11613,"A woman with long, dark hair wearing long earrings",,,
11614,"A man with light blue eyes, short dark hair and a stubble beard.",,,
11615,A middle-aged man with short dark hair and some white hairs at the sides. His eyes are blue and small and his nose is small. His lips are thin and a stubble beard is growing on his face,,,
11616,A white man with short brown hair and a light stubble,,,
11617,"A woman with long, wavy, blond hair, an upturned nose, full lips, full cheeks and a strong jaw with a cleft chin.",,,
11618,A middle-aged woman with blonde wavy hair and small dark eyes. Her nose is small and her lips are somewhat thick. Her lips are painted pink and her upper teeth are visible,,,
11619,a white women with blonde hair and brown eyes,,,
11620,"A focused pale white woman with pulled up wavy brown hair, green eyes and red lips",,,
11621,"An old man with small black eyes, a small mouth, a trimmed black moustache and curly black hair. He is wearing a brown cowboy hat and has some wrinkles around his eyes.",,,
11622,"This woman with brown hair has thin arched eyebrows, she has big eyes and her cheekbones are defined as well as her pointed npse",,,
11623,"A woman with large, light-green eyes, thin lips and long black hair. She has a smooth complexion and pristine teeth. She is smiling.",,,
11624,"A fair boy with a small upturned nose, a small mouth, light-blue eyes and fair hair. He has a smooth complexion and has a serious look.",,,
11625,"A man with thin lips, fair, short hair and small, blue eyes. He has a trimmed moustache and a trimmed beard. He is smiling.",,,
11626,"A man with grey-white curly hair. He's also got a beard with grey-white and black facial hair. His facial features are small: his eyes are narrow, his nose is small, his lips are thin. He looks serious.",,,
11627,"A serious looking white man, chubby, with greying black hair, greying-black beard and a thick nose",,,
11628,A young man with short dark hair and thin lips. His upper teeth are visible. A stubble beard is growing on his face. He is wearing a pair of sunglasses and his ear is pierced,,,
11629,"A young man with short hair, a small nose and thin lips wearing black sunglasses",,,
11630,"A man with a slightly tanned complexion, thick black eyebrows, button nose, a trimmed black moustache and thick jet-black hair.",,,
11631,"A middle-aged man with brown eyes, a big nose, thin lips, a beard and he is wearing a white cap.",,,
11632,"A man with short, curly, black hair and light-brown tips. He has thick eyebrows, blue eyes, a long nose and a strong jawline with a stubble beard.",,,
11633,A young man with short brown hair and bright blue eyes. His lips are thin and they are pressed together into a smile. A stubble beard is growing around his lips. He has got a well-defined jawline,,,
11634,"A young man with short hair, dark eyes, a small nose and thin lips",,,
11635,A young girl with curly blonde hair. Her eyes are big and bright. Her nose is small and her mouth is open as she seems to be talking. Her teeth are visible.,,,
11636,"A smiling white girl with long curly blonde hair, brown eyes",,,
11637,A young girl with dark-colouted hair and big brown eyes. There is dark make-up around her eyes. She is looking upwards. Her lips are thin and her mouth is open wide. Her upper teeth and tongue are visible.,,,
11638,"A happy looking white woman with long wavy black hair, brown eyes",,,
11639,"A woman with long, reddish-brown hair and rosy cheeks. She is smiling and wearing light makeup.",,,
11640,A young woman with long light brown hair. She has got a fringe on the side of her forehead. Her eyebrows are somewhat thick and round - they are not arched. Her eyes are small and they are brown. She has got rosy cheeks. Her lips are painted in a natural colour and she is smiling.,,,
11641,"A grinning white woman with long red hair, brown eyes and full cheeks",,,
11642,"A man with a rounded face, a small mouth with thin lips, large, dark eyes and white hair. He has wrinkles on his forehead.",,,
11643,"A man with a shaved goatee, deep green eyes, thick short black hair and an olive complexion. He has a serious look and has small ears.",,,
11644,"A man with a curved, pointed nose, thin lips, large, black eyes and a shaved beard. He has sideburns and is wearing a white baseball cap.",,,
11645,"A teenage girl with dark brown hair and eyebrows, brown eyes, a petite nose and plump lips.",,,
11646,A blonde woman with her hair tied into a ponytail,,,
11647,A young man with short dark hair and small eyes. His lips are heart-shaped and a stubble beard is growing on his face,,,
11648,"A young man with dark hair, blue eyes, a thin nose, small ears, thin lips and a moustache",,,
11649,"A pale man with short, receding, white hair and a pair of glasses. He has a narrow nose, a prominent chin and a small smile.",,,
11650,A man with short grey hair wearing narrow black framed glasses and smiling slightly.,,,
11651,A man with white hair and black glasses,,,
11652,this is an older man with white hair and wrinkles on his forehead. his eyebrows are rounded and his eyes are small. his nose is full and his lips are thin,,,
11653,A woman with caramel-coloured hair and a wide smile. She is wearing makeup and has greenish eyes.,,,
11654,A young woman with straight brown hair and blue eyes with some black make-up around them. Her lips are thin and her upper teeth are visible. She is smiling. She is wearing a pair of long earrings,,,
11655,"A woman with a slightly tanned complexion, shiny dark golden hair, a round face and radiant skin. She has arched eyebrows, sparkly green eyes, a small nose, full cheeks, pristine teeth, glossy lips and dangling earrings.",,,
11656,"A woman with blonde hair, blue eyes, a small nose and thin lips",,,
11657,A middle-aged man with short grey hair and small dark-coloured eyes. His lips are very thin and hints of a stubble beard can be seen around them. The man has got a serious look on his face.,,,
11658,"A man with short hair, dark eyes, small nose, big ears and thin lips",,,
11659,"A pale man with a strong jaw, prominent cheebones, a small nose, narrow eyes and some stubble. He has short, black hair.",,,
11660,A young man with short dark hair and small eyes. His nose is small and his lips are thin. A stubble beard is growing on his face. The man has got a soft smile.,,,
11661,"A grinning white man with very short brown hair, brown eyes and a light stubble",,,
11662,A young Korean-looking man with short dark hair and small dark eyes. His nose is small and narrow. He has got a heavy lower lip and he seems to be talking. His front teeth are visible,,,
11663,"A focused Asian man with a brown bowl-haircut, brown eyes and a long nose",,,
11664,A smiling tanned white man with short brown hair brown eyes and a defined jawline,,,
11665,"A woman with a slightly tanned complexion, thin defined black eyebrows, an upturned nose and full lips. She has long curly black hair and is wearing lip gloss.",,,
11666,"A woman with an elongated face, large light-blue eyes, a short nose and red lips. She has wavy blonde hair and is smiling.",,,
11667,"A middle-aged man with brown hair, thick eyebrows, dark brown eyes, a slender nose, thin lips and a moustache.",,,
11668,"A pale woman with straight, tied-back, black hair and a fringe. She has thick, sculpted eyebrows, a thin nose, full lips and she is wearing makeup.",,,
11669,"A young woman with dark-coloured hair pulled back. She has got a fringe. Her eyes are small, narrow and dark-coloured. There is some make-up around her eyes. Her lips are thin and they are painted pink. She is wearing a pair of earrings.",,,
11670,"A grinning white woman with pulled up brown hair, brown eyes and glossy pink lips",,,
11671,"A man with a tanned complexion, small slit-eyes, thin lips and defined black eyebrows. He is wearing a black baseball cap.",,,
11672,"A young man with short brown hair, lightly coloured eyes, chiseled jaw wearing a blue shirt.",,,
11673,A young boy with wavy hair who has dimples,,,
11674,"A black man with a large nose, full lips, a beard, thick eyebrows and a black beanie.",,,
11675,"A serious looking black man with brown eyes, a wide nose and a black goatee",,,
11676,"A woman with long, wavy, brunette hair with a blond streak in it. She has dark skin, a strong jaw, full cheeks and a bright smile.",,,
11677,"A smiling Latina with long wavy brown hair, brown eyes and small nose",,,
11678,"A man receding brown hair, narrow blue eyes, a droopy nose and thin lips. He is wearing glasses.",,,
11679,A man with brown hair combed backwards. He has got a receding hairline. His eyes are blue and he is wearing a pair of rectangular glasses with a thin metal frame. His lips are thin and he has got a crooked smile. His upper teeth are visible. He has got a well-defined jawline.,,,
11680,"A smiling white old man with short brown hair, blue eyes and a long nose",,,
11681,"A pale woman with short, curly, brown hair, green eyes and drawn-on eyebrows. She has full cheeks, a toothy grin and she is wearing light makeup.",,,
11682,"A woman with short curly brown hair, thinly drawn on eyebrows, blue eyes and a large aquiline nose.",,,
11683,"An elderly woman with curly hair, blue eyes, a small nose, small ears and thin lips",,,
11684,A young with brown hair pulled back. She seems to be frowning and her eyes are almost closed. She is looking downwards. Her nose is narrow and her lips are thin. She has got a heavy lower lip. She is wearing a pair of hoop earrings,,,
11685,"A concerned looking white woman with pulled back long ginger hair, a large forehead and large ears",,,
11686,"A woman with a small face, large light-green eyes and a big mouth. She has a thick bottom lip and short black hair. She is wearing makeup and earrings.",,,
11687,A woman with a long face and large eyes. She is wearing hoop earrings and makeup.,,,
11688,"A dark-skinned woman with smooth glowing skin and straight black hair with a side parting. She has thin arched eyebrows, dark brown eyes, a flat nose, full lips, high cheek bones and a chiselled jawline. She is wearing make-up and earrings.",,,
11689,A young girl with light brown frizzy hair pulled back. Her eyes are light-coloured and her lips are somewhat thick. Her front teeth are visible. She is wearing a pair of big earrings,,,
11690,"A young woman with blonde hair, dark eyes, a small nose and thin lips",,,
11691,"A woman with long, light-brown hair and a narrow nose. She has sculpted eyebrows and she is wearing makeup.",,,
11692,A young woman with straight brown hair and small brown eyes with black make-up around them. Her lips are painted using lipgloss and her upper teeth are visible. She is smiling,,,
11693,"A young woman with long hair, dark eyes, small nose and thin lips",,,
11694,"A woman with a slightly tanned complexion, an oval-shaped face, radiant skin and blonde hair in a ponytail. She has thick eyebrows, blue deep-set eyes, plump cheeks and a small mouth. She is wearing a light pink sportive cap.",,,
11695,"A woman with a long, thin face, a pointed chin, large green eyes and long, brown hair.",,,
11696,"A fair young girl with a rounded face large sparkly eyes, a small mouth and curly blonde hair. She is smiling.",,,
11697,A young man with short dark hair and small dark eyes. His nose is small and his lips are thin. His teeth are visible. A stubble beard is growing on his face,,,
11698,"A young man with short hair, dark eyes, big ears, a small nose and a thin lips",,,
11699,"A blond woman with sparkly light-blue eyes, a smooth complexion and long blonde hair. She is wearing makeup, large hoop earrings and she is smiling.",,,
11700,"A young dark-skinned woman with long, black hair and sculpted eyebrows. She is wearing light makeup and has a long nose.",,,
11701,A young woman with black hair styled backwards. Her eyes are brown and there is make-up around them. Her nose is narrow and her lips are thin. She is smiling. She is wearing a pair of earrings.,,,
11702,"A woman with short, dark hair, big eyes and a small nose",,,
11703,A young man with spiked hair and a black stud earring,,,
11704,"A dark-skinned man with thick lips, small black eyes, thick black hair and defined black eyebrows. He is clean-shaven and has a glowing complexion.",,,
11705,"A man with short, black hair, a long nose, thin lips and a strong jaw with a cleft chin.",,,
11706,A young man with short dark hair and small dark eyes. His nose is small and narrow and his lips are thin. A thin stubble is growing on his face. He has got a defined jawlinw,,,
11707,A man with short hair and a pointed nose,,,
11708,"A dark-skinned girl with long, straight, black hair, full lips, a strong jaw and thin eyebrows.",,,
11709,"A grinning brown woman with long brown hair, brown eyes and a long nose",,,
11710,"A woman with black hair, black pointed eyebrows, hazel eyes, a slender nose and pink plump lips.",,,
11711,"A young man with short, spiked-up, black hair, a strong jawline, a cleft chin, full lips and thick eyebrows.",,,
11712,A man with short spiked hair wearing a suit,,,
11713,"A smiling black man with full lips and dimples. He has short, black hair and a 5 o'clock shadow.",,,
11714,"A dark skinned man with short curly hair, large eyes, nose and lips, bushy eyebrows, wide jaw and chin and having a short stubble.",,,
11715,"A smiling black man with short black hair, brown eyes and big lips",,,
11716,"This picture shows an Asian woman with short brown, he has very thin eyebrows and her almond-shaped eyes are brown in colour. She has a button-shaped nose.",,,
11717,"A man with black short hair and eyebrows, brown coloured eyes, a big nose and thin lips.",,,
11718,"A woman with long, wavy, blond hair and high cheekbones.",,,
11719,A middle-aged woman with dark blonde hair and big eyes. Her nose is small and her lips are thin. Her upper teeth are visible and the woman seems to be talking.,,,
11720,"A woman with blonde hair, a straight nose and small ears",,,
11721,"A tanned woman with black hair, pointed eyebrows, black eyes, a pointed nose and thin lips.",,,
11722,A young man with short brown hair and small eyes. His nostrils are big. His mouth is open and he is licking his lips,,,
11723,a young white man with blonde hair and dark colored eyes also has his tongue out,,,
11724,"A woman with long straight blonde hair, a narrow nose and think lips. She has big cheeks and is wearing a beanie.",,,
11725,A young blonde woman wearing a grey winter hat. She seems chubby. Her eyes are small and there is some black make-up around them. Her lips are thin and she is smiling softly. She has got a pair of dimples when she smiles.,,,
11726,"A young woman with blonde hair, dark eyes, a small nose and thin lips wearing a beanie",,,
11727,A tanned woman with ombré hair going from black to blondish. She is smiling and has pearl-white teeth.,,,
11728,"A female face with a wide smiling mouth showing white teeth, large eyes and blonde hair.",,,
11729,"A smiling white woman with long blonde hair, green eyes and a defined chin",,,
11730,"A lady with a dark toned skin, large nostrils, large eyes, wide set eyebrows and platinum curled hair.",,,
11731,"A black woman with wavy hair, dark eyes, a small nose and thin lips",,,
11732,"A middle-aged man with brown hair, light eyebrows, blue eyes, a small nose, thin lips and a stubble.",,,
11733,"White woman with short, dark brown hair, having a wisped fringe and wearing slight make-up. Her lips are slightly parted and she is raising both her hands to shoulder level.",,,
11734,"A woman with dark brown short hair, thin eyebrows, blue-grey-coloured eyes and thin lips.",,,
11735,"A pale woman with long, blond hair and dark roots. She has prominent cheeks, a long nose, dark eyebrows and she is wearing makeup.",,,
11736,A young blonde girl with dark brown roots. Her eyes are brown and her lips are painted red. She is smiling,,,
11737,"A grinning white woman with long blonde hair, brown eyes and red lips",,,
11738,"A woman with a thin, elongated face, large, sparkly, green eyes and thin lips. She has high cheekbones and brown hair. She has a fringe covering most of her forehead and is wearing large sunglasses.",,,
11739,"A pale woman with smooth skin and shiny, bouncy, dark brown curls. She has thin eyebrows, brown almond-shaped eyes, a dainty nose and a chiselled jawline.",,,
11740,"A woman with a red streak in her long, wavy, black hair. She is wearing makeup and she has sculpted eyebrows, a long nose and a smile.",,,
11741,"A young woman with wavy hair, dark eyes, a small nose and thin lips wearing a red bandana",,,
11742,"she is a young woman with curly blonde hair, very thin eyebrows and small brown eyes. her nose is quite crooked and her lips are glossy pink",,,
11743,"A man with slicked back, light brown hair which is shaved at the sides. He has brown eyes, a strong jaw, a moustache and a chin beard.",,,
11744,"A surprised looking white man with short blonde hair, a mustache and a tuft",,,
11745,"A man with a tanned complexion, a wrinkled forehead, a slim oblong face and messy hair. He has thick eyebrows, brown eyes, a long nose, a thin upper lip and high cheek-bones. He is on the telephone.",,,
11746,"this man has short light brown hair, bushy eyebrows and big brown eyes. he is holding a telephone to his ear and he has his hands on his face",,,
11747,"this Asian man is wearing a white Nike hat, his eyes are almond-shaped, his nose is small and his lips are full, he also has a chiselled jawline",,,
11748,"A bald, plump man with blue eyes, full lips and a trimmed chin beard. He has small eyebrows and he is wearing a black cowboy hat.",,,
11749,A chubby young man with light-coloured eyes and thin lips. He is smiling and hints of a stubble beard can be seen on his upper lip. A stubble beard is growing on his chin.,,,
11750,"A man with short hair, blue eyes, big ears, a small nose and thin lips wearing a black cowboy hat",,,
11751,"A dark-skinned man with a rectangular face, smooth skin and jet-black hair. He has a neatly-kept stubble and moustache, brown hooded eyes, a straight nose and thick lips.",,,
11752,A middle-aged woman with brown hair and a fringe. Her eyes are dark-coloured and there is dark make-up around them. Her lips are painted  and they are parted. Her upper teeth are visible as she is smiling. She is wearing a pair of earrings.,,,
11753,"A smiling aging white woman with long brown hair, with a fringe, brown eyes and thick lips",,,
11754,"A woman with very high cheekbones, deep set eyes and full lips. She has long straight flat brown hair.",,,
11755,"A smiling tanned white woman with long brown hair, brown eyes and a long thin nose",,,
11756,"A man with short, spiked-up, black hair which is shaved at the sides. He has thick, bushy eyebrows, a flat nose, a stubble beard and a slanted smile.",,,
11757,A young man with short dark hair and thick dark eyebrows. His eyes are brown and his lips are thin. His upper teeth are visible. A stubble beard is growing on his face. He has got a tattoo on his neck.,,,
11758,"A young man with short hair, dark eyes, a small nose, thin lips and a tattoo on his neck",,,
11759,A young man with brown hair styled in an afro. Her is wearing  big fancy white glasses. His eyes are dark-coloured. His lips are small and he has a heavy lower lip. His lips are parted and his front teeth are visible. He has got a beard growing on his face.,,,
11760,"A focused white man with a brown afro, brown eyes and a brown goatee",,,
11761,"An white old man with short white hair, wrinkles and brown eyes",,,
11762,"A woman with a long nose, big mouth and a long face. She has long, brown face and is wearing makeup.",,,
11763,"A woman with curly hair, dark eyes, a small nose and thin lips",,,
11764,"A woman with shoulder-length, light-brown hair, sunken eyes, thick eyebrows, full cheeks and a wide, toothy grin.",,,
11765,"A smiling white woman with long brown hair, brown eyes",,,
11766,"A female face with a small nose, full cheeks and large eyes, having long black hair and wearing makeup and lipstick.",,,
11767,"A young woman with long hair, dark eyes, a small nose and thin lips",,,
11768,"A pale woman with long, wavy, light-brown hair. She has sculpted, arched eyebrows and a smile. She is wearing light makeup and has prominent cheeks.",,,
11769,A young woman with brown hair and small dark eyes. There is make-up around her eyes. Her nose is small and her lips are thin. Her upper teeth are visible. She is smiling.,,,
11770,"A young woman with short hair, blue eyes, a small nose and thin lips",,,
11771,"A blonde woman with fair skin, green eyes and a heart-shaped face. She has dimples and is wearing eyeliner.",,,
11772,"A woman with prominent cheekbones, thin lips, large black eyes and a slightly tanned complexion. She has long straight black hair and a fringe covering half of her forehead. She is smiling and has a defined jawline.",,,
11773,"A man with a large chin, and thin lips. He is wearing black glasses and a cowboy hat.",,,
11774,"Man with thin face and swept-back, light brown hair. He has a long moustache and otherwise clean-shaven face. He has a pointy chin and is looking towards a point above eye-level.",,,
11775,"A man with a fair complexion, messy jet-black hair, a black stubble and moustache and smooth skin. He has thick black eyebrows, brown hooded eyes, a long pointy nose, thin pursed lips and a well-defined jawline.",,,
11776,"A middle-aged woman with blonde hair, black eyes, a slender nose and thin lips.",,,
11777,"this woman has her hair tied up in a bun, she is wearing black sunglasses and her nose is pointed and her lips are full, she is wearing long earrings",,,
11778,"A man with an elongated narrow face, a long, narrow droopy nose, thin lips and thick black hair. He has slit-eyes and has a trimmed moustache.",,,
11779,"A man with a rectangular face, a fair complexion, a shaven moustache and stubble and dark brown hair, He has thick eyebrows, hazel hooded eyes, high cheek-bones and large nostrils.",,,
11780,"this woman has short black hair, bushy eyebrows and small brown eyes. his nose is small and his lips are thin",,,
11781,"A dark-skinned young man with short, curly black hair. He has a slight beard and full lips.",,,
11782,"A serious looking brown man with short black hair, brown eyes, a light black beard and thick lips",,,
11783,"A white male with white hair, a long nose, large cheeks and large teeth.",,,
11784,A young woman with blonde curled hair. Her eyebrows are brown and her eyes are also brown. There is some black make-up above them. The woman's lips are stretched into a smile and her upper teeth are visible.,,,
11785,"A smiling white woman with long blonde hair, green eyes",,,
11786,"A white young man with light brown hair, small brown eyes, thin eyebrows, a big nose and thin lips.",,,
11787,"A black man with a shaved head, a stubble beard and a beaming smile. He has a strong jaw, a wide nose, full lips and sliight bags under his eyes.",,,
11788,"A smiling black man, bald, with brown eyes a wide nose and a light stubble",,,
11789,"A man with short, dark, receding hair, large ears, brown eyes, some stubble and a smile with dimples.",,,
11790,A young man with short dark hair and small dark eyes. His lips are thin and a stubble beard is growing on his face,,,
11791,"A smiling brown man with short brown hair, brown eyes, a long nose and a stubble",,,
11792,"A wrinkled male face with short brown hair, big ears and nose and small light brown eyes.",,,
11793,"A man with short hair, dark eyes, a big nose and thin lips",,,
11794,"A dark-skinned man with frizzy black hair, a neatly-kept stubble and moustache and smooth skin. He has thick eyebrows, brown hooded eyes, a hooked nose, plump cheeks and thick lips. He is smiling.",,,
11795,"this man has a full head of black hair, arched eyebrows and big brown eyes. his nose is long and pointed and his lips are thin and he has a beard",,,
11796,A young girl with straight brown hair and big green eyes with black make-up around them. Her lips are full. She is wearing a pair of earringa,,,
11797,"A grinning white woman with long brown hair, brown  eyes and a flat nose",,,
11798,"A woman with long, curly, blond and brown hair with bangs, sunglasses, a small nose and a toothy smile.",,,
11799,"A smiling aging white woman with long wavy blonde hair, wide ear and glossy red lips",,,
11800,"A young woman with long straight light brown hair, brown eyes and a big white smile.",,,
11801,"A young woman with long hair, dark eyes, a small nose and thin lips",,,
11802,A young man with scruffy brown hair and brown eyebrows. Hie eyes are blue and they are small. This man has got dimples. His lips are thin and they are set into a smile. He's also got a short trimmed beard.,,,
11803,"A grinning white man with short brown hair, blue eyes and a brown beard",,,
11804,"A man with blonde hair, sideburns and a goatee, wearing a black cap and sunglasses while singing in a microphone.",,,
11805,"A focused white man with blonde hair, blonde sideburns and a blonde tuft",,,
11806,"A fair man with an oblong face and spiky golden hair. He has a receding hairline, large forehead, green hooded eyes, a straight nose and thin lips. He has a well-defined jawline and is smiling.",,,
11807,"This man has brown hair, rounded eyebrows and small lightly colored eyes. His nose is long and his lips are thin",,,
11808,"An Asian woman with long, black hair, sculpted eyebrows, a narrow nose and full lips and cheeks.",,,
11809,"A brown skinned woman with heavy makeup, large hoop earrings, narrow eyes, large lips and a mole above the upper lip.",,,
11810,"A focused Asian woman with pulled back black hair, brown eyes and thick lips",,,
11811,"A woman with an elongated face, a pale white complexion and large green sparkly eyes. She has a long, thin nose and a thin upper lip. She has long, brown hair and is wearing makeup.",,,
11812,A young dark-skinned woman with black hair pulled back. She is looking down. Her nose is small and her lips are small as well. She seems like she is about to cry,,,
11813,"A black woman with short hair, a small nose and thin lips",,,
11814,"A light-skinned male face with reddish hues. He has short black hair, a prominent chin and a large smile with dimples.",,,
11815,"A man with short hair, dark eyes, a small nose and thin lips",,,
11816,"A tanned man with messy brown hair and eyebrows, brown eyes, a big nose, thin lips and a stubble.",,,
11817,"This man has short brown hair, bushy eyebrows and small brown eyes his nose is small and pointed and his lips are thin and he also has a beard",,,
11818,"A woman with an elongated pale face, black slit-eyes and full lips. She has high cheekbones and long, straight black hair. She is wearing red lipstick and is looking downwards.",,,
11819,"A focused Asian woman with long brown hair, brown eyes",,,
11820,"A woman with elongated green eyes, a large mouth, a thick bottom lips and short blonde hair. She has a fringe covering most of her forehead and is wearing a lot of makeup.",,,
11821,"this is an older woman with short curly blonde hair, rounded eyebrows and small dark brown eyes. her nose is long and she has red lipstick. she has silver earrings on her ears",,,
11822,"this woman has long brown hair, thin arched eyebrows and big green eyes, her nose is narrow and her lips are red",,,
11823,"A grinning white man with short brown hair, blue eyes and a light stubble",,,
11824,"A dark-skinned man with a rounded face, a short nose with large nostrils and thick lips. He has a white moustache and is bald.",,,
11825,"A man with a large chin, a large nose, thin lips and is wearing glasses.",,,
11826,"this is an older man with receding black hair and thin eyebrow, he has square-shaped glasses and a button-shaped nose, his lips are thin and he is wearing a suit",,,
11827,"A woman with short, frizzy, blond hair, dark eyebrows, full cheeks and a wide, toothy grin.",,,
11828,"An aging, smiling white woman with short blonde hair green eyes and a wide smile",,,
11829,"A white woman with blonde hair, dark roots, thin eyebrows, icy-blue eyes, a petite nose and thin lips.",,,
11830,"this woman has long wavy blonde hair, her eyebrows are very thin and rounded her eyes are full of makeup and her nose is small, she has blush on her cheeks and her lips are full.",,,
11831,"A woman with shoulder-length, wavy, black hair and bangs. She has full lips, a slight cleft chin and she is wearing glasses.",,,
11832,A young woman with medium-length hair and a fringe. Her eyes are dark-coloured and there is some make-up around them. She is wearing a pair of rectangular glasses with a thick black frame. She has got a heavy lower lip,,,
11833,A focused white woman with medium length black hair brown eyes and thick lips,,,
11834,"A woman with long, brown hair and a wide smile. She has thin, sculpted eyebrows and a sharp jaw.",,,
11835,"A long faced woman with a beaming toothy smile, a defined jaw, long blonde hair, large hoop earrings and wearing a black eyeliner.",,,
11836,"A young woman with blonde hair, dark eyes, a thin nose and thin lips wearing hoop earrings",,,
11837,"A woman with a large black eyes, a small nose and a large mouth. She has pristine, white teeth and long, straight brown hair. She is smiling and is wearing earrings.",,,
11838,"this woman has long straight black hair, eyebrows that are arched, small brown eyes, and a small nose, her lips are glossy and she is wearing earrings",,,
11839,"A young woman with dark hair, blue eyes, a small nose, small nose and thin lips wearing earrings",,,
11840,"A woman with frizzy, ginger hair, fair skin, and angular features. She is wearing heavy makeup, dangly earrings and a jewelled hairband.",,,
11841,"A young woman with short hair, dark eyes, a small nose, small ears and thin lips wearing a lot of jewellery",,,
11842,"A white-skinned man with white hair, brown eyebrows, brown eyes, a small nose and thin lips.",,,
11843,"A pale woman with long, light-brown hair, thin, sculpted eyebrows, a bright smile, full, rosy cheeks and some makeup.",,,
11844,A young woman with straight brown hair and small dark-coloured eyes with dark make-up around them. Her nose is small and her lips are thin and they are painted red. Her teeth are visible as the woman is smiling.,,,
11845,A smiling white woman with long blonde hair green eyes and red lips,,,
11846,"Fair woman with light copper hair, wearing light make-up. She is looking at a distance to her left side, with a serious expression.",,,
11847,"This is a woman with long blonde hair, she is looking off to the side, she has thin eyebrows and a long pointed nose, she has medium sided lips and she seems to be wearing a pink top",,,
11848,"A woman with long, straight blond hair, kept back by a black hairband. She has thin eyebrows, blue eyes, a wide nose and a beaming smile.",,,
11849,A blonde woman wearing black stud earrings and a black headband,,,
11850,"A young woman with blonde curled hair and brown roots becoming visible. Her eyebrows are brown. Her eyes, brown, are small and there is black make-up around the. Her nose is straight and her lips are heart-shaped and they're painted red. The woman is wearing a pair of white earrings.",,,
11851,"A young woman with blonde hair, blue eyes, a small nose and thin lips",,,
11852,"A man with frosted tips, dark roots, brown eyebrows, blue eyes, a slender nose, small lips and a soul patch on his chin.",,,
11853,"A focused white old man, with short greying-black hair, brown eyes and a large nose",,,
